ticker,earnings_date,iv_before,iv_after
BEAM,2026-05-07,0.8375,0.5705
BEAM,2026-02-24,0.6026,0.7295
BEAM,2025-11-04,0.9415,0.3943
BEAM,2025-08-05,0.5931,0.3843
BEAM,2025-05-06,0.8471,0.528
BEAM,2025-02-25,0.7606,0.8568
BEAM,2024-11-05,0.6632,1.1683
BEAM,2024-08-06,0.8911,0.545
BEAM,2024-05-07,0.518,0.7792
BEAM,2024-02-27,0.9544,0.5629
BEAM,2023-11-08,0.9996,1.1579
BEAM,2023-08-08,0.5543,0.3423
RXRX,2026-05-06,0.6101,0.3076
RXRX,2026-02-25,0.7367,0.3188
RXRX,2025-11-05,1.1436,0.6005
RXRX,2025-08-05,0.6717,0.4465
RXRX,2025-05-05,1.1664,1.0231
RXRX,2025-02-28,1.2078,0.8788
RXRX,2024-11-06,0.6204,0.9464
RXRX,2024-08-08,0.8572,0.8375
RXRX,2024-05-09,0.5826,0.74
RXRX,2024-02-27,1.3422,0.9769
RXRX,2023-11-09,0.8877,1.0224
RXRX,2023-08-08,2.3937,0.5838
CRSP,2026-05-04,0.6618,0.5826
CRSP,2026-02-12,0.7641,0.7424
CRSP,2025-11-10,0.6382,0.602
CRSP,2025-08-04,0.9085,0.4668
CRSP,2025-05-06,0.7207,0.5933
CRSP,2025-02-11,0.4415,1.0493
CRSP,2024-11-05,0.4977,0.6667
CRSP,2024-08-05,0.6446,0.485
CRSP,2024-05-08,0.3733,0.5755
CRSP,2024-02-21,0.7212,0.4713
CRSP,2023-11-06,0.7691,1.1761
CRSP,2023-08-07,0.3942,0.6338
ILMN,2026-04-30,0.3844,0.429
ILMN,2026-02-05,0.3931,0.6583
ILMN,2025-10-30,0.4028,1.2312
ILMN,2025-07-31,0.3966,0.6095
ILMN,2025-05-08,0.4402,0.684
ILMN,2025-02-06,0.434,0.6655
ILMN,2024-11-04,0.27,0.358
ILMN,2024-08-06,0.4938,0.51
ILMN,2024-05-02,0.3489,0.4457
ILMN,2024-02-08,0.2916,0.5353
ILMN,2023-11-09,0.4375,0.7362
ILMN,2023-08-09,0.2417,0.265
ALNY,2026-04-30,0.3711,0.3628
ALNY,2026-02-12,0.3525,0.3724
ALNY,2025-10-30,0.2633,0.3831
ALNY,2025-07-31,0.2644,0.2782
ALNY,2025-05-01,0.6719,0.6777
ALNY,2025-02-13,0.356,0.2127
ALNY,2024-10-31,0.2762,0.3699
ALNY,2024-08-01,0.2386,0.3023
ALNY,2024-05-02,0.2663,0.1827
ALNY,2024-02-15,0.2975,0.4471
ALNY,2023-11-02,0.303,0.3386
ALNY,2023-08-03,0.3479,0.2081
